User_ID,Date,Wake_Up_Time,Sleep_Hours,Steps,Calories_Burned,Water_Intake_ml,Study_Hours,Mood_Score
U054,2025-06-11,08:08,8.6,567,1216,4962,5.2,5
U055,2025-04-13,07:34,5.4,3233,1905,1054,1.1,1
U056,2025-06-08,07:11,8.9,11832,3738,2679,7.7,10
U057,2025-02-23,05:23,5.8,9482,1479,2325,5.2,10
U058,2025-03-21,08:42,7.5,5094,2911,4873,0.8,9
U059,2025-06-09,08:18,8.3,2090,3392,856,2.5,6
U060,2025-08-20,07:58,9.4,11988,1654,953,2.7,7
U061,2025-08-01,08:39,8.0,12026,2870,4559,3.6,4
U062,2025-01-31,07:44,6.5,19298,1363,1084,1.3,9
U063,2025-09-23,08:43,8.7,19707,3034,1901,6.3,2
U064,2025-07-19,07:20,9.4,16353,2638,1674,4.3,3
U065,2025-04-20,08:54,6.3,6685,2606,3128,4.1,9
U066,2025-06-09,09:04,6.6,13951,3444,738,6.5,6
U067,2025-09-28,07:08,7.0,18200,1668,2236,7.6,7
U068,2025-04-07,09:58,6.1,4277,3171,1444,2.8,7
U069,2025-03-25,09:15,8.9,7338,2749,2842,7.7,10
U070,2025-01-13,05:32,6.1,11982,1413,1591,5.2,8
U071,2025-03-29,05:11,7.8,5716,3104,4002,6.8,3
U072,2025-03-28,09:42,8.3,17449,2245,2054,8.0,10
U073,2025-10-22,09:07,8.9,19626,1230,4768,2.7,8
U074,2025-08-11,06:40,7.2,9579,2920,767,5.1,6
U075,2025-01-12,05:11,9.2,16382,1816,2796,1.7,2
U076,2025-09-12,09:50,5.1,8935,2471,741,3.9,9
U077,2025-06-11,08:39,6.6,18367,3581,4556,0.1,1
U078,2025-09-05,08:30,7.5,1914,3330,4127,3.5,2
U079,2025-07-24,07:04,8.7,8817,2164,3286,6.9,7
U080,2025-05-20,07:13,5.6,10325,2417,510,6.7,7
U081,2025-09-18,07:06,7.7,7501,2989,2431,6.4,2
U082,2025-03-09,08:44,6.3,18175,1583,2520,3.3,5
U083,2025-07-20,08:18,9.1,15738,3392,1392,7.5,5
U084,2025-01-30,06:46,5.7,4738,3057,3800,5.1,1
U085,2025-03-05,09:08,6.9,12802,3023,3224,3.3,7
U086,2025-03-06,05:18,5.8,18639,1285,3827,7.6,3
U087,2025-08-11,05:25,7.6,11762,3162,2531,7.1,9
U088,2025-04-04,08:38,8.8,11598,2624,2795,1.3,8
U089,2025-10-05,06:46,7.2,9252,3316,4758,4.7,4
U090,2025-04-14,07:05,8.7,12749,2591,2979,1.2,8
U091,2025-09-28,08:03,5.2,10190,3039,2965,2.8,3
U092,2025-01-08,09:42,5.4,13856,2655,1599,1.9,1
U093,2025-05-23,06:38,5.6,12865,3553,1236,0.6,3
U094,2025-07-03,05:38,7.0,3024,1342,4908,2.7,9
U095,2025-08-16,06:26,7.6,9427,1649,4031,7.7,9
U096,2025-08-03,08:00,7.5,2892,3647,2591,2.4,10
U097,2025-05-18,06:39,7.1,13670,1379,3418,1.4,10
U098,2025-08-05,07:10,7.5,12942,1478,572,2.4,5
U099,2025-04-07,06:07,6.4,13361,1315,765,1.7,9
U100,2025-05-21,08:16,7.8,6466,3374,4416,2.3,8
U101,2025-07-25,09:22,8.2,1133,2615,4404,3.0,2
U102,2025-09-11,09:54,7.6,17401,3329,4413,3.2,9
U103,2025-06-03,06:48,7.8,5529,3341,4990,7.6,7
U104,2025-06-06,06:51,5.7,14923,3488,509,3.8,9
U105,2025-05-09,05:32,9.0,1856,2401,2352,5.6,1
U106,2025-08-27,07:42,5.1,1183,2256,1644,7.1,5
U107,2025-05-05,05:34,8.9,19372,2028,1929,5.7,3
U108,2025-07-20,07:33,9.2,14735,3373,2707,3.3,8
U109,2025-04-18,07:57,7.8,9291,2807,2781,2.2,6
U110,2025-01-14,07:55,6.1,14916,1997,4932,6.7,8
U111,2025-09-25,05:51,5.5,18995,2788,3139,3.8,1
U112,2025-04-23,09:32,5.2,10020,1557,2609,6.6,10
U113,2025-09-03,05:41,5.0,3858,1902,3720,4.2,1
U114,2025-09-02,07:54,8.3,4196,3378,2102,6.0,9
U115,2025-02-07,05:08,8.8,18296,3767,2865,1.4,2
U116,2025-04-25,08:11,9.0,12472,2778,2301,2.1,10
U117,2025-01-26,09:32,8.8,6206,1366,4505,3.8,2
U118,2025-10-22,08:29,5.8,13285,1735,2087,3.4,4
U119,2025-09-10,09:25,5.1,12742,1366,4228,0.2,7
U120,2025-08-11,09:56,7.5,2634,3184,1257,7.3,9
U121,2025-09-20,06:17,6.4,3257,3541,4842,5.0,4
U122,2025-07-19,07:13,7.1,9681,3014,4532,3.3,8
U123,2025-10-09,06:14,9.1,13232,3516,2252,5.8,7
U124,2025-10-20,09:10,8.4,1657,1500,1327,3.4,2
U125,2025-07-27,05:31,6.9,9555,2861,2658,7.6,3
U126,2025-07-10,06:34,5.7,17858,1990,4819,7.9,3
U127,2025-05-25,05:26,6.9,8580,3193,3482,1.0,10
U128,2025-10-17,06:56,6.9,15638,2902,2663,0.7,1
U129,2025-08-25,07:31,7.9,12595,2512,1575,4.1,4
U130,2025-08-29,08:06,5.4,7462,3021,2172,7.6,3
U131,2025-04-06,06:06,7.3,4131,2636,2144,5.1,1
U132,2025-06-11,05:16,7.0,10514,1572,2066,1.0,7
U133,2025-07-02,05:53,8.4,14493,2249,3948,7.8,8
U134,2025-04-29,05:05,5.0,7568,2610,1087,0.9,5
U135,2025-10-12,06:46,8.3,5553,1682,2083,3.4,5
U136,2025-05-21,06:01,6.9,17261,3177,666,0.8,7
U137,2025-04-24,08:17,5.5,17512,2424,3466,6.7,8
U138,2025-05-22,08:32,8.2,6782,3649,2034,4.5,1
U139,2025-07-01,09:39,5.3,14624,1237,3338,2.1,4
U140,2025-04-18,08:55,8.1,2397,2374,3534,3.2,9
U141,2025-01-31,07:03,6.6,13591,2061,3666,7.2,4
U142,2025-04-28,08:24,7.3,2439,1647,512,3.6,6
U143,2025-06-06,06:32,9.1,9802,2744,3677,4.9,2
U144,2025-01-14,07:53,5.1,18889,2409,4869,6.3,9
U145,2025-08-08,07:39,5.7,4706,1412,2699,0.0,6
U146,2025-01-02,05:23,9.2,13780,3178,824,6.4,8
U147,2025-08-23,08:48,8.0,8439,2602,3670,0.2,7
U148,2025-09-16,05:06,5.7,13000,3093,1576,6.2,8
U149,2025-01-15,06:15,5.7,16708,2495,4991,4.6,8
U150,2025-05-04,05:50,8.7,18166,1231,2667,2.7,10
U151,2025-06-21,05:20,7.0,11554,1511,4975,5.2,9
U152,2025-09-11,06:41,8.4,1447,1710,3589,5.6,6
U153,2025-09-21,08:12,8.3,5872,3644,4463,1.3,6
U154,2025-03-24,07:40,9.2,18453,3776,991,4.1,5
U155,2025-05-30,09:42,5.8,14799,2662,1950,2.6,5
U156,2025-06-08,08:26,9.4,662,1339,2392,6.1,6
U157,2025-02-25,05:27,7.4,2243,2313,3978,5.7,3
U158,2025-02-14,07:39,8.3,686,2049,669,7.7,8
U159,2025-04-19,07:42,5.5,12257,3273,738,3.7,7
U160,2025-07-18,05:12,6.8,1499,3021,2595,6.7,6
U161,2025-06-05,05:26,5.7,5727,3188,1070,5.4,10
U162,2025-09-17,09:08,9.2,16440,1400,787,0.1,7
U163,2025-10-03,05:50,8.3,9752,3180,2918,1.0,6
U164,2025-01-21,08:20,5.2,5794,3663,4676,0.5,5
U165,2025-07-03,07:42,9.0,8091,1950,2819,5.4,1
U166,2025-02-01,09:09,9.5,11200,3116,4987,7.2,2
U167,2025-09-20,08:26,6.6,12955,1488,2010,0.8,3
U168,2025-07-19,09:22,6.2,11170,2645,1618,3.2,4
U169,2025-07-31,08:59,6.7,7638,1867,4396,6.4,5
U170,2025-09-21,05:33,8.2,5667,2089,4395,7.1,6
U171,2025-05-23,07:31,7.9,10081,1519,2026,1.1,5
U172,2025-09-11,09:49,7.8,12143,3657,4740,4.0,5
U173,2025-01-13,09:09,6.0,12083,1403,1515,4.9,9
U174,2025-02-08,08:49,8.2,4993,2324,2131,7.2,3
U175,2025-06-05,06:52,5.3,6261,2773,1828,5.0,1
U176,2025-02-06,05:11,9.1,16997,1708,2706,4.1,5
U177,2025-03-02,07:20,9.2,7381,2973,2379,0.6,5
U178,2025-04-10,09:38,5.2,15478,3618,2458,5.6,7
U179,2025-06-21,09:57,9.2,2761,1603,2235,7.3,4
U180,2025-09-03,08:00,8.6,13405,2132,1264,4.5,9
U181,2025-08-27,06:08,8.5,9132,1954,3259,1.9,10
U182,2025-10-17,05:42,6.3,1507,1946,3079,7.7,1
U183,2025-09-25,08:18,9.2,12912,2789,2993,7.3,6
U184,2025-03-21,09:02,7.6,9126,2666,1004,2.7,3
U185,2025-03-15,07:25,8.1,17869,1910,1219,2.4,9
U186,2025-06-05,09:30,7.3,5071,3630,3995,1.2,10
U187,2025-10-09,05:39,7.5,7947,3380,546,2.0,8
U188,2025-04-22,05:51,8.3,5135,1610,4809,5.1,7
U189,2025-05-14,07:07,7.5,8950,1915,986,1.8,8
U190,2025-08-31,09:16,5.5,15807,3432,2807,1.2,2
U191,2025-02-09,08:45,8.8,13745,3395,4517,6.4,10
U192,2025-03-16,09:43,7.6,17298,2038,685,6.1,2
U193,2025-06-28,08:11,8.4,3270,3375,564,4.6,3
U194,2025-06-18,07:22,5.5,2930,3043,1618,2.9,2
U195,2025-07-04,08:02,9.3,7836,1843,940,5.9,9
U196,2025-10-01,06:58,6.5,15572,1545,2650,0.3,3
U197,2025-08-28,08:22,5.8,19676,2956,1381,0.9,2
U198,2025-07-03,08:08,7.5,19602,1308,955,8.0,4
U199,2025-08-15,08:06,8.6,14045,3492,4065,2.2,7
U200,2025-07-31,05:17,7.4,19128,3629,3421,0.5,2
U201,2025-06-22,05:45,8.7,1983,2951,4120,0.6,10
U202,2025-09-03,09:56,5.6,15960,2781,2448,7.6,3
U203,2025-03-08,07:03,5.1,10736,3231,2649,3.0,7
U204,2025-06-25,06:59,6.9,1641,3091,2139,5.8,4
U205,2025-05-16,08:23,5.7,1887,3523,4125,6.3,10
U206,2025-03-06,05:10,7.5,8688,1451,2770,7.8,2
U207,2025-02-06,06:03,7.1,19331,3655,754,0.9,1
U208,2025-09-06,09:25,7.0,8935,1914,3417,5.3,4
U209,2025-02-10,08:58,9.0,700,3153,3523,2.3,7
U210,2025-10-09,05:30,9.0,12652,3172,2703,4.2,8
U211,2025-07-05,07:12,9.4,15227,3046,2861,0.2,9
U212,2025-08-14,09:02,5.5,12854,3268,3358,0.1,10
U213,2025-10-25,07:08,9.4,17832,2219,1660,5.2,7
U214,2025-07-06,05:49,6.7,7806,2532,2157,1.0,4
U215,2025-05-22,08:50,5.9,2777,1966,1600,4.9,1
U216,2025-02-17,09:42,7.1,9906,2563,2867,3.2,9
U217,2025-05-31,05:40,7.5,9432,2568,2762,1.0,7
U218,2025-06-25,07:05,5.0,2093,2554,4221,7.3,9
U219,2025-06-26,05:27,6.2,8676,1671,1637,2.9,5
U220,2025-08-27,06:13,7.9,18671,2750,3603,5.7,4
U221,2025-07-03,07:04,8.3,13733,2142,4721,7.1,10
U222,2025-09-07,05:54,7.6,14080,1280,3620,0.6,4
U223,2025-02-18,07:23,7.2,655,3065,818,3.9,5
U224,2025-10-02,08:32,6.6,10912,2239,2089,8.0,8
U225,2025-07-07,05:51,7.5,17035,3215,1556,1.2,5
U226,2025-08-03,09:31,6.7,15855,1375,2626,1.7,10
U227,2025-10-18,07:48,6.2,17461,2658,2009,6.2,4
U228,2025-09-02,05:59,7.5,17530,3555,4451,7.5,4
U229,2025-04-27,06:17,8.4,9106,2626,1767,3.6,8
U230,2025-06-20,09:42,6.4,18305,2083,1938,4.4,6
U231,2025-06-15,07:45,6.6,11621,3253,3731,5.3,3
U232,2025-03-24,06:19,7.3,18412,1977,3858,7.1,7
U233,2025-01-15,06:56,9.1,4202,1669,1981,6.7,1
U234,2025-02-27,06:15,8.2,10149,3451,873,7.9,8
U235,2025-04-29,08:52,7.3,8170,2707,3667,4.3,5
U236,2025-08-02,09:30,6.9,19085,3433,4701,4.6,4
U237,2025-07-22,09:31,8.2,18531,1345,1278,3.3,3
U238,2025-05-05,09:45,7.1,5696,3155,4796,1.0,3
U239,2025-07-12,05:02,7.1,16033,3161,2264,3.3,9
U240,2025-09-25,05:53,6.1,6085,2906,4974,2.1,10
U241,2025-08-18,06:24,6.2,19713,3084,4745,2.8,7
U242,2025-04-07,05:19,7.9,6685,1324,2883,7.9,9
U243,2025-05-27,09:43,6.8,7777,2723,4211,2.1,4
U244,2025-08-27,09:05,6.8,16489,1879,583,5.0,3
U245,2025-02-12,06:34,5.2,6759,2551,706,6.7,3
U246,2025-06-05,08:26,6.6,18155,3285,1061,0.6,8
U247,2025-06-22,09:56,7.5,6548,1554,2672,0.0,7
U248,2025-08-09,05:21,7.6,17248,1700,2830,7.0,9
U249,2025-10-23,07:03,6.1,1156,3493,958,6.4,10
U250,2025-07-31,09:05,8.5,19615,3294,1571,6.0,1
U251,2025-07-28,06:16,8.1,18668,3133,4599,2.4,6
U252,2025-01-25,08:34,6.0,18923,3504,4694,6.1,2
U253,2025-05-04,05:51,5.2,5996,1822,4917,4.6,7
U254,2025-07-08,06:11,6.4,11687,3266,2040,2.3,8
U255,2025-10-09,05:26,6.3,17833,2115,3308,5.9,7
U256,2025-03-05,06:17,6.7,9298,2019,3155,7.6,4
U257,2025-04-13,09:03,7.6,889,1946,3255,3.3,1
U258,2025-09-02,05:44,7.0,5517,2732,4488,5.7,1
U259,2025-08-16,05:37,6.7,5615,1962,2395,5.7,2
U260,2025-03-13,09:30,6.2,15869,2392,3708,5.5,4
U261,2025-04-07,05:16,9.2,10605,3196,1343,2.1,10
U262,2025-07-31,08:22,6.5,18785,2312,4381,4.6,1
U263,2025-03-25,09:24,8.7,19599,1698,2806,2.9,2
U264,2025-08-04,09:50,6.0,16138,2499,4337,6.6,8
U265,2025-01-11,08:04,5.8,8969,3791,2372,0.9,9
U266,2025-08-13,06:08,7.1,17475,1802,4804,5.7,10
U267,2025-05-18,09:30,8.9,10048,3705,3542,0.6,10
U268,2025-02-25,07:51,8.0,2936,2196,926,2.5,6
U269,2025-09-07,08:54,7.3,16812,3273,1540,2.0,7
U270,2025-01-18,08:23,8.3,18093,2432,1008,0.1,5
U271,2025-01-21,05:22,8.6,6353,2504,4652,4.0,10
U272,2025-01-07,09:04,9.0,17336,3262,2874,3.9,6
U273,2025-09-20,07:11,5.2,18033,3051,1066,6.3,5
U274,2025-04-24,07:36,5.8,16249,2300,2555,0.1,1
U275,2025-10-01,09:16,5.8,12670,3746,1378,7.1,7
U276,2025-10-06,07:18,5.9,5806,1216,4499,1.2,2
U277,2025-06-30,08:58,6.1,1467,1955,1444,0.4,2
U278,2025-01-25,07:44,5.2,6152,1751,4886,1.4,6
U279,2025-08-24,08:49,9.3,6715,3787,3225,3.0,10
U280,2025-06-05,05:11,6.1,10181,3660,2537,1.8,8
U281,2025-01-16,05:02,6.5,4249,1217,4857,4.3,7
U282,2025-08-13,08:16,5.6,2731,1645,1668,7.4,2
U283,2025-10-27,07:04,7.9,942,2520,2744,3.2,1
U284,2025-04-12,08:12,9.4,4695,1383,2468,6.6,2
U285,2025-08-13,09:57,6.9,17923,1574,4256,3.8,6
U286,2025-06-15,09:49,5.4,4680,1966,3655,0.9,8
U287,2025-05-11,09:25,5.2,15823,2293,2765,2.4,6
U288,2025-04-21,09:48,6.9,7621,1405,4514,4.7,10
U289,2025-05-17,05:15,7.5,1193,2016,2726,3.4,2
U290,2025-08-13,05:37,8.3,3336,2037,2513,5.3,7
U291,2025-01-30,06:14,7.1,3203,2861,1789,6.4,10
U292,2025-09-27,07:59,6.0,4418,3596,4460,1.4,10
U293,2025-09-09,06:25,7.2,722,2895,3585,2.5,4
U294,2025-06-27,05:02,7.2,15049,2945,1429,2.9,1
U295,2025-08-15,08:49,8.2,4398,2543,554,7.0,1
U296,2025-04-30,09:46,5.3,14522,2544,4401,7.0,7
U297,2025-10-04,08:03,5.7,8442,3201,4401,6.7,1
U298,2025-05-19,05:33,7.1,17723,2434,2169,6.6,4
U299,2025-03-02,09:52,8.6,1645,1697,3343,1.3,3
U300,2025-06-03,05:07,7.9,1429,2968,4258,0.7,5
U301,2025-09-16,08:02,5.2,18921,2400,523,3.4,1
U302,2025-09-10,07:46,7.2,18722,3719,3564,1.7,1
U303,2025-10-12,08:06,7.5,12287,2377,1590,7.8,7
U304,2025-01-07,09:25,8.4,6476,2891,1392,5.0,4
U305,2025-03-10,07:01,7.5,5022,3158,547,6.1,10
U306,2025-08-25,05:01,8.2,9639,2404,915,6.5,6
U307,2025-07-12,08:26,7.0,8892,2009,1607,3.7,7
U308,2025-03-31,06:57,5.1,11691,1606,3000,6.2,3
U309,2025-08-12,09:42,6.4,7814,3595,1238,4.6,9
U310,2025-04-29,09:07,9.1,9074,1729,2302,4.4,3
U311,2025-08-16,08:14,6.5,19771,1629,2982,5.9,7
U312,2025-05-09,08:02,7.2,9919,3134,4699,7.8,4
U313,2025-04-26,08:40,9.5,5940,2997,4661,7.2,8
U314,2025-01-04,07:37,5.8,13539,1929,3839,3.3,4
U315,2025-03-05,08:22,6.9,13918,1820,1645,7.2,10
U316,2025-09-08,09:43,8.4,9633,1978,4540,4.3,4
U317,2025-09-06,09:20,7.9,13874,1553,2046,0.3,1
U318,2025-04-14,09:45,5.6,14766,1346,2932,3.1,7
U319,2025-04-21,08:06,9.2,11793,2643,941,7.6,4
U320,2025-10-19,05:28,6.9,2637,1473,526,0.2,6
U321,2025-03-09,07:38,6.3,15128,1470,4637,2.8,8
U322,2025-02-10,05:53,7.1,11560,1471,3439,4.0,9
U323,2025-05-19,06:59,7.5,7244,2225,2567,2.7,2
U324,2025-05-01,07:04,7.4,13043,2778,1175,5.7,9
U325,2025-02-10,09:33,6.6,19067,2641,4860,5.5,10
U326,2025-08-20,09:03,7.0,9906,2152,822,7.4,5
U327,2025-01-09,08:59,7.2,14923,1268,4475,3.9,8
U328,2025-01-30,06:25,8.8,11823,1409,3180,1.6,6
U329,2025-08-31,07:56,6.9,17264,3053,3016,7.5,6
U330,2025-05-22,08:30,9.0,14324,1802,2998,6.1,3
U331,2025-09-07,06:32,6.3,13280,2857,1498,2.6,6
U332,2025-07-18,06:40,7.9,16112,2425,2286,0.3,2
U333,2025-05-28,08:33,8.0,7215,3620,2157,2.5,4
U334,2025-02-05,06:28,9.0,12954,3692,3864,2.9,9
U335,2025-03-13,06:55,7.1,19390,3630,1432,3.1,7
U336,2025-04-19,05:12,7.3,9954,1725,1146,7.8,10
U337,2025-03-26,07:37,8.1,14957,2801,937,6.2,9
U338,2025-07-20,09:54,8.6,4158,1370,2149,0.6,9
U339,2025-09-02,05:47,7.9,11893,1969,3742,6.9,2
U340,2025-02-09,08:41,5.1,3178,1206,1042,0.1,3
U341,2025-08-15,07:33,6.0,13686,3671,1782,2.0,5
U342,2025-07-27,05:25,9.3,1810,2859,1281,6.7,9
U343,2025-03-09,06:22,8.6,18505,1958,547,0.9,7
U344,2025-07-12,06:25,6.6,8944,1974,3412,0.8,8
U345,2025-08-19,06:08,7.3,13987,2982,4111,2.2,10
U346,2025-02-20,05:21,6.6,11573,1770,3422,3.8,7
U347,2025-04-11,05:42,7.6,9130,2643,1892,0.8,5
U348,2025-09-24,05:19,5.0,11640,1418,4921,1.4,4
U349,2025-02-08,05:50,6.3,14091,3481,4790,2.6,1
U350,2025-01-05,05:29,9.3,11272,3086,4987,6.0,9
U351,2025-08-14,08:29,5.3,3194,2545,3647,2.2,3
U352,2025-03-10,06:03,7.5,16980,1814,3367,4.1,9
U353,2025-01-02,09:40,8.7,6312,2967,4309,5.6,5
U354,2025-02-25,09:09,6.6,7424,1900,1743,7.5,5
U355,2025-01-25,08:54,7.8,15826,1558,3112,7.5,1
U356,2025-07-30,06:54,9.1,19281,3490,1306,0.1,7
U357,2025-03-20,07:16,5.1,10719,2604,3240,7.0,2
U358,2025-02-03,07:36,6.4,15800,1926,4617,6.5,10
U359,2025-09-09,09:45,5.6,17567,3645,1494,1.3,7
U360,2025-08-09,09:56,5.6,930,3323,1231,0.1,3
U361,2025-02-28,06:10,8.3,1099,1676,3734,0.7,2
U362,2025-06-01,07:47,6.0,16978,2327,2382,7.7,4
U363,2025-01-15,08:37,5.8,16649,2592,2594,0.7,3
U364,2025-07-28,07:47,8.8,11751,3754,1052,7.4,10
U365,2025-05-01,05:34,8.2,17025,3480,1130,6.8,1
U366,2025-10-07,07:09,8.7,15533,3060,771,5.8,5
U367,2025-03-03,07:26,9.3,14820,2578,4668,5.4,8
U368,2025-01-13,05:42,9.0,11123,2119,4035,7.7,2
U369,2025-05-20,09:08,7.2,11378,2706,3656,5.7,2
U370,2025-02-21,09:33,6.1,5298,1840,4461,7.9,10
U371,2025-06-27,08:48,7.0,1169,1474,1131,3.3,6
U372,2025-05-16,05:14,5.8,17925,2630,2789,7.7,9
U373,2025-04-29,09:50,6.1,17900,1273,3437,7.6,10
U374,2025-05-21,05:58,9.2,9181,2143,1757,6.3,10
U375,2025-06-05,05:39,8.9,1538,1706,1621,4.7,3
U376,2025-09-24,07:28,8.2,17204,3478,896,4.0,9
U377,2025-10-24,09:12,9.2,11147,3439,1507,1.4,4
U378,2025-05-29,09:31,6.4,16067,2973,1816,0.3,10
U379,2025-08-31,08:25,7.8,2624,1368,4958,0.1,6
U380,2025-08-02,05:29,7.7,8484,2088,3300,2.4,5
U381,2025-06-12,08:09,6.5,11061,2358,3311,4.6,9
U382,2025-03-25,05:16,5.7,1089,3463,2885,1.2,3
U383,2025-01-08,09:58,8.6,9655,3493,3104,4.1,4
U384,2025-09-30,06:22,8.6,1631,1839,1003,3.3,1
U385,2025-02-12,05:15,7.9,6936,2065,2611,3.1,10
U386,2025-05-29,06:30,6.9,7247,2305,2499,0.6,2
U387,2025-10-25,08:52,9.2,2599,2831,3350,2.1,2
U388,2025-02-19,06:27,5.0,16627,1586,4615,1.3,8
U389,2025-10-17,05:09,6.9,16537,2476,2598,1.3,4
U390,2025-07-14,08:42,6.1,14675,2024,3030,5.5,4
U391,2025-07-30,09:44,6.5,19093,3198,3003,5.0,6
U392,2025-09-16,09:43,8.9,2844,2512,4992,6.3,9
U393,2025-02-12,09:19,8.1,17601,3646,1595,0.7,3
U394,2025-06-01,06:06,6.7,9383,1937,2231,1.3,10
U395,2025-06-22,08:26,7.6,19518,2202,2918,3.2,4
U396,2025-10-22,09:45,6.8,13191,1930,4046,6.4,1
U397,2025-06-21,06:21,5.1,2240,1816,3664,4.0,6
U398,2025-04-23,06:03,7.4,7496,1297,2707,0.3,5
U399,2025-09-29,05:55,8.6,3272,2650,2285,3.9,8
U400,2025-09-13,08:06,6.6,6773,2946,3280,1.5,10
U401,2025-01-28,06:40,9.2,9127,1868,3344,2.0,1
U402,2025-09-11,08:34,9.4,7651,3430,2592,4.2,2
U403,2025-08-03,07:27,8.3,18058,2322,604,0.0,9
U404,2025-02-05,08:35,7.5,3102,1345,3691,2.5,4
U405,2025-02-19,05:11,5.4,835,2363,1582,4.5,4
U406,2025-03-14,07:57,8.6,19255,1318,4803,5.5,1
U407,2025-06-18,09:17,5.2,8551,3464,1676,4.7,10
U408,2025-09-21,07:22,6.1,11692,1584,1969,2.9,1
U409,2025-02-01,09:01,8.4,18978,1495,4051,4.9,8
U410,2025-05-30,06:09,8.3,6402,2791,1970,6.3,9
U411,2025-08-13,06:17,6.6,17453,2823,2221,2.2,9
U412,2025-07-18,09:50,9.1,7576,1754,3474,5.8,10
U413,2025-04-09,09:39,8.4,9978,3542,4308,1.4,4
U414,2025-01-27,08:19,7.6,13122,1427,1162,3.4,10
U415,2025-04-25,05:19,7.9,19957,3639,935,3.7,9
U416,2025-07-14,06:37,7.0,11440,1952,2032,0.6,8
U417,2025-01-12,05:38,7.4,16246,2092,2883,2.2,6
U418,2025-09-21,09:45,5.2,17041,2950,3902,1.4,3
U419,2025-06-09,07:09,8.4,14471,1774,1161,3.2,4
U420,2025-08-17,09:48,5.2,10008,1667,2958,1.7,3
U421,2025-06-23,06:34,7.8,15035,1864,3063,0.7,9
U422,2025-05-15,09:46,5.3,13527,3764,2162,5.5,9
